Antall	Faregrad	Hovedskredproblem	Skredproblem	Skredtype	Hovedbudskap norsk	Hovedbudskap engelsk
7	Fg2 (7)	Fokksnø (7), Våt snø (7)	Regn/temperaturstigning (7), Lag med løs nysnø (6), I fokksnøen (1)	Tørre flakskred (7), Våte løssnøskred (7)	Regn og milde temperaturer vil kunne resultere i naturlig våt skredaktivitet. Vær obs på fersk fokksnø i høyden.	Rain and mild temperatures may result in natural avalanche activity. Be aware of fresh wind slabs at higher elevation.
1	Fg2 (1)	Våt snø (1)	Snødekket er overmettet av vann (1)	Våte løssnøskred (1)	Regn svekker bindingene i snøen og det vil være mulig å løse ut skred.	Precipitiation as rain will weaken the snowpack. Easy to release small avalanches as a skier.
2	Fg2 (2)	Fokksnø (2), Våt snø (2)	Regn/temperaturstigning (2), I fokksnøen (2)	Tørre flakskred (2), Våte flakskred (2)	Regn vil gjøre snøen ustabil opp til ca 1000 moh. Vær forsiktig også i områder som samler fersk fokksnø over snøgrensa. Lavere faregrad der det er lite snø.	Be careful in areas with rain on Tuesday's snowfall, and in areas with fresh wind deposited snow above 1000 masl. The danger level is lower in areas with little snow.
4	Fg2 (4)	Våt snø (4), Vedvarende svakt lag (2)	Regn/temperaturstigning (4), Kantkornet ved bakken (1), Kantkornet under skaren (1)	Våte løssnøskred (4), Tørre flakskred (1), Våte flakskred (1)	Regn, sol og milde temperaturer vil kunne resultere i naturlig våt skredaktivitet.	Rain, sun and mild temperatures may result in natural avalanche activity. Be aware of fresh wind slabs at higher elevation.
8	Fg3 (8)	Vedvarende svakt lag (8), Fokksnø (8)	Lag med løs nysnø (7), Kantkornet over skaren (4), Kantkornet under skaren (4), I fokksnøen (1)	Tørre flakskred (12), Våte flakskred (4)	Regnvær fører til økende skredfare. Gamle svake lag kan vekkes til live og øke faren for naturlig utløste skred. Ustabile flak med nysnø i fjellet.	Precipitation as rain leads to higher avalanche danger. A weak layer deep in the snow pack can now become more active. Avoid fresh stormslabs in the mountains.
1	Fg3 (1)	Vedvarende svakt lag (1), Fokksnø (1), Våt snø (1)	Lag med løs nysnø (1), Gjennomfuktet fra bakken (1), Lag med overflaterim (1)	Tørre flakskred (2), Våte flakskred (1)	Sammensatt situasjon med fersk fokksnø høyfjellet, våt snø i lavlandet og forekomst av svakt rimlag nede i snødekket. Bruk erfaring og kunnskap ved veivalg!	Complex situation with heavy snowfall at high altitudes, wet snow in the lowlands and occurrence of weak layers of buried surface hoar in the snow pack. Use experience and knowledge in backcountry activities!
2	Fg3 (2)	Vedvarende svakt lag (2), Fokksnø (2)	Lag med løs nysnø (2), Lag med overflaterim (2)	Tørre flakskred (4)	Sammensatt situasjon med fersk fokksnø i høyfjellet, våt snø i lavlandet og forekomst av svakt rimlag nede i snødekket. Bruk erfaring og kunnskap ved veivalg!	Complex situation with heavy snowfall at high altitudes, wet snow in the lowlands and occurrence of weak layers of buried surface hoar in the snow pack. Use experience and knowledge in backcountry activities!
1	Fg2 (1)	Våt snø (1)	Regn/temperaturstigning (1)	Våte flakskred (1)	Skred fra vått snødekke på glatt underlag kan forekomme.	The avalanche danger varies during the day. The danger is at its highest in steep sun exposed slopes and in the afternoon when the air temperature is high.
2	Fg2 (2)	Fokksnø (2), Våt snø (2)	Lag med løs nysnø (2), Regn/temperaturstigning (2)	Tørre flakskred (2), Våte flakskred (2)	Skred fra vått snødekke på glatt underlag kan forekomme. Vær oppmerksom på at nysnø sammen med stiv kuling kan danne ustabile flak av fokksnø.	Avalanches from wet snow on slippery bedrock surfaces may occur. Note also that fresh snow and strong winds may form unstable storm slabs.
1	Fg3 (1)	Fokksnø (1)	Lag med løs nysnø (1)	Tørre flakskred (1)	Skred kan utløses naturlig og av skiløper. Unngå leområder hvor det har samlet seg fokksnø.	Heavy snow loads and wind in the mountains. Avoid leewrad slopes. Naturally released avalanches is possible.
1	Fg2 (1)	Fokksnø (1), Våt snø (1)	Lag med løs nysnø (1), Regn/temperaturstigning (1)	Tørre flakskred (1), Våte løssnøskred (1)	Skredfaren avtar men holder seg på to-moderat. I høyden er fokksnø problemet, unngå leområder. I lavlandet kan det gå våte skred i bratt terreng.	Wind slabs are a problem at high elevations Wet avalanches can release in steep terrain in lower areas.
1	Fg3 (1)	Fokksnø (1), Våt snø (1)	Lag med løs nysnø (1), Regn/temperaturstigning (1)	Tørre flakskred (1), Våte løssnøskred (1)	Skredfaren avtar til 2-moderat utover onsdag. I høyden er fokksnø problemet, unngå leområder. I lavlandet kan det gå våte skred i bratt terreng.	Wind slabs are a problem at high elevations Wet avalanches can release in steep terrain in lower areas.
1	Fg2 (1)	Fokksnø (1), Våt snø (1)	Lag med løs nysnø (1), Regn/temperaturstigning (1)	Tørre flakskred (1), Våte løssnøskred (1)	Skredfaren avtar til en svak to-moderat utover dagen. I høyden er fokksnø problemet, unngå leområder. I lavlandet kan det gå våte skred i bratt terreng.	Wind slabs are a problem at high elevations Wet avalanches can release in steep terrain in lower areas.
1	Fg2 (1)	Fokksnø (1), Våt snø (1)	Lag med løs nysnø (1), Regn/temperaturstigning (1)	Tørre flakskred (1), Våte løssnøskred (1)	Skredfaren avtar utover dagen, men er fortsatt moderat. I høyden er fokksnø problemet, unngå leområder. I lavlandet kan det gå våte skred i bratt terreng.	Wind slabs are a problem at high elevations Wet avalanches can release in steep terrain in lower areas.
2	Fg3 (2)	Vedvarende svakt lag (2), Fokksnø (2)	Lag med løs nysnø (2), Lag med overflaterim (2)	Tørre flakskred (4)	Skredfaren er størst i leområder for nysnø vest i regionen. Det finnes områder med svake lag i det gamle snødekket over hele regionen.	Highest danger level in lee areas in the western part of the region. Be aware that there are persistent weak layers in the old snow cover.
5	Fg1 (4), Fg2 (1)	Fokksnø (5), Våt snø (2), Vedvarende svakt lag (1)	I fokksnøen (5), Regn/temperaturstigning (2), Lag med kantkornet snø (1)	Tørre flakskred (6), Våte løssnøskred (2)	Skredfaren kan øke til 2-moderat hvis sola får tak. Stort sett stabile forhold ellers. Vær også obs i bratte leområder med tørr fokksnø i høyfjellet.	If/when the sun comes out, the danger will rise to 2-moderate in areas where the snow becomes wet and soft. Predominantly stable conditions, but be aware in steep lee areas in higher elevations, small dry wind slabs are possible to release. Be careful close to and in terrain traps.
3	Fg1 (2), Fg2 (1)	Fokksnø (3), Våt snø (3)	Lag med løs nysnø (3), Regn/temperaturstigning (3)	Tørre flakskred (3), Våte løssnøskred (3)	Skredfaren kan øke utover dagen der snødekket blir vått og mykt. Der overflaten er hard er skredfaren 1-liten.	The danger level is 1 where the surface is hard, but can rise to 2-moderate if the surface gets wet and soft. If we get a cold night the snow surface will freeze and stabilize.
1	Fg3 (1)	Fokksnø (1), Våt snø (1)	I fokksnøen (1), Regn/temperaturstigning (1)	Tørre flakskred (1), Våte løssnøskred (1)	Skredfaren ligger på en 2, men øker utover kvelden til 3. I høyden er fokksnø problemet, unngå leområder. I lavlandet kan det gå våte skred i bratt terreng.	Wind slabs are a problem at high elevations. Wet avalanches can release in steep terrain in lower areas.
1	Fg2 (1)	Fokksnø (1), Våt snø (1)	Regn/temperaturstigning (1), I fokksnøen (1)	Tørre flakskred (1), Våte løssnøskred (1)	Skredfaren øker i lavlandet utover dagen når snøen blir fuktig. Om kvelden øker faren for flakskred i høyfjellet.	If/when the sun comes out, the danger will rise in areas where the snow becomes wet. Increasing danger at higher elevations in the evening. Dry wind slabs are possible to release. Be careful close to and in terrain traps.
7	Fg2 (7)	Fokksnø (6), Våt snø (5), Nysnø (2), Vedvarende svakt lag (1)	I fokksnøen (6), Regn/temperaturstigning (5), Ubundet løs snø (2), Lag med kantkornet snø (1)	Tørre flakskred (7), Våte løssnøskred (5), Tørre løssnøskred (2)	Skredfaren øker i solsidene utover dagen når nysnøen blir fuktig. Vær forsiktig i bratte leområder med tørr fokksnø i høyfjellet.	When the sun comes out, the danger will rise in areas where the new snow becomes wet. Be aware in steep lee areas in higher elevations, small dry wind slabs are possible to release. Be careful close to and in terrain traps.
1	Fg2 (1)	Fokksnø (1), Våt snø (1)	Regn/temperaturstigning (1), I fokksnøen (1)	Tørre flakskred (1), Våte løssnøskred (1)	Skredfaren øker i solsidene utover dagen når snøen blir fuktig. Om kvelden øker faren for flakskred i høyfjellet.	When the sun comes out, the danger will rise in areas where the snow becomes wet. Increasing danger at higher elevations in the evening. Dry wind slabs are possible to release. Be careful close to and in terrain traps.
4	Fg2 (4)	Fokksnø (4), Våt snø (4)	I fokksnøen (4), Regn/temperaturstigning (4)	Tørre flakskred (4), Våte løssnøskred (4)	Skredfaren øker i solsidene utover dagen når snøen blir fuktig. Vær forsiktig i bratte leområder med tørr fokksnø i høyfjellet.	When the sun comes out, the danger will rise in areas where the snow becomes wet. Be aware in steep lee areas in higher elevations, small dry wind slabs are possible to release. Be careful close to and in terrain traps.
1	Fg2 (1)	Fokksnø (1), Våt snø (1)	Regn/temperaturstigning (1), I fokksnøen (1)	Tørre flakskred (1), Våte løssnøskred (1)	Skredfaren øker i solsidene utover dagen når snøen blir fuktig. kende fare i høyfjellet mot kvelden.	When the sun comes out, the danger will rise in areas where the snow becomes wet. Increasing danger in higher elevations in the evening. Dry wind slabs are possible to release. Be careful close to and in terrain traps.
1	Fg2 (1)	Fokksnø (1), Våt snø (1)	I fokksnøen (1), Regn/temperaturstigning (1)	Tørre flakskred (1), Våte løssnøskred (1)	Skredfaren øker i solsidene utover dagen. Vær forsiktig i bratte leområder med tørr fokksnø i høyfjellet. Stort sett stabile forhold ellers.	When the sun comes out, the danger will rise to 2-moderate also in areas where the snow becomes wet and soft. Be aware in steep lee areas in higher elevations, small dry wind slabs are possible to release. Be careful close to and in terrain traps.
2	Fg3 (2)	Fokksnø (2), Våt snø (2)	Lag med løs nysnø (2), Regn/temperaturstigning (2)	Tørre flakskred (2), Våte flakskred (2)	Skredfaren øker når temperaturen stiger. Unngå leområder hvor det legger seg opp fersk nysnø/fokksnø over snøgrensa.	The danger rises when the temperature increases, naturally released avalanches possible. Avoid areas with fresh wind deposited snow at higher elevations.
5	Fg3 (5)	Fokksnø (5), Våt snø (5)	Lag med løs nysnø (5), Regn/temperaturstigning (5)	Tørre flakskred (5), Våte flakskred (5)	Skredfaren øker når temperaturen stiger. Unngå leområder hvor det legger seg opp fersk nysnø/fokksnø over snøgrensa. NB, det finnes også svake lag i snødekket.	The danger rises when the temperature increases, naturally released avalanches possible. Avoid areas with fresh wind deposited snow at higher elevations. It is also possible to trigger avalanches in a persistant weak layer in the old snow in bowls and gullies in all expositions.
1	Fg3 (1)	Fokksnø (1), Våt snø (1)	Lag med løs nysnø (1), Regn/temperaturstigning (1)	Tørre flakskred (1), Våte flakskred (1)	Skredfaren øker når temperaturen stiger. Unngå leområder hvor det legger seg opp fersk nysnø/fokksnø over snøgrensa. NB, svake lag i snødekket våkner til liv.	The danger rises when the temperature increases, naturally released avalanches possible. Avoid areas with fresh wind deposited snow at higher elevations. Persistant weak layers seem to get more active and can be triggered.
1	Fg2 (1)	Vedvarende svakt lag (2)	Lag med kantkornet snø (1), Lag med overflaterim (1)	Tørre flakskred (2)	Skredfaren øker når temperaturen stiger. Vær forsiktig der det finnes fersk fokksnø. Skred kan løses ut på svake lag nede i snødekket.	Temperature rise will increase the danger. Be careful, weak layer is present in the snowpack. Areas with wind deposited snow are more vulnerable than other areas. Avalanches can most easily be triggered where the snowcover is thin, e.g. close to ridges and convex formations.
3	Fg2 (3)	Vedvarende svakt lag (3), Våt snø (3)	Regn/temperaturstigning (3), Glatt skare (3)	Tørre flakskred (3), Våte flakskred (3)	Skredfaren øker pga nedbør og vind mot kvelden. Generelt stabile forhold tidlig på dagen der det fryser på.	The avalanche danger increase in the evening because of fresh snow and strong wind. Generally stable conditions in the morning where the snow is frozen.
1	Fg2 (1)	Fokksnø (1), Våt snø (1)	Regn/temperaturstigning (1), I fokksnøen (1)	Tørre flakskred (1), Våte løssnøskred (1)	Skredfaren øker til 2-moderat der sola gjør snøen myk. Stort sett stabile forhold ellers. Vær også obs i bratte leområder med tørr fokksnø i høyfjellet.	If/when the sun comes out, the danger will rise to 2-moderate in areas where the snow becomes wet and soft. Predominantly stable conditions, but be aware in steep lee areas in higher elevations, small dry wind slabs are possible to release. Be careful close to and in terrain traps.
6	Fg2 (6)	Våt snø (6)	Regn/temperaturstigning (6)	Våte løssnøskred (6)	Skredfaren øker utover dagen der snødekket blir vått og mykt. Eventuell nattefrost vil stabilisere snødekket, der overflaten er hard er skredfaren 1-liten.	The stability decreases when the snow gets wet. If we get a cold night the snow surface will freeze and stabilize. The danger level is 1 where the surface is hard, but will rise to 2-moderate as soon as the surface gets wet and soft.
13	Fg2 (13)	Våt snø (25)	Regn/temperaturstigning (25)	Våte flakskred (16), Våte løssnøskred (9)	Skredfaren varierer i løpet av døgnet. Faren er størst i solvendte heng og når dagen er på sitt varmeste.	The avalanche danger varies during the day. The danger is at its highest in steep sun exposed slopes and in the afternoon when the air temperature is high.
15	Fg2 (13), Fg1 (2)	Våt snø (26), Fokksnø (2)	Regn/temperaturstigning (26), I fokksnøen (2)	Våte løssnøskred (15), Våte flakskred (11), Tørre flakskred (2)	Skredfaren varierer i løpet av døgnet. Faren er størst når dagen er på sitt varmeste og i solvendte heng.	The avalanche danger varies during the day. The danger is at its highest in steep sun exposed slopes and in the afternoon when the air temperature is high.
1	Fg2 (1)	Vedvarende svakt lag (1), Våt snø (1)	Regn/temperaturstigning (1), Lag med kantkornet snø (1)	Tørre flakskred (1), Våte flakskred (1)	Skredfaren varierer i løpet av døgnet. Faren er størst når dagen er på sitt varmeste og i solvendte heng. Vær oppmerksom på fokksnø høyt til fjells.	The avalanche danger varies during the day. The danger is highest in steep sun exposed slopes in the afternoon when the air temperature is highest.  Be aware of wind slabs at high elevations.
